tipo_edad;Total;Hombres;Mujeres;porc_total;porc_Hombres;porc_mujeres;Periodo
entre65y79;852389;411330;441059;0.045782847925399;0.0452616749383598;0.0462798253773636;1900
mas80;115385;48928;66457;0.00619746841861188;0.00538390886000065;0.00697325835115813;1900
entre65y79;972954;462791;510163;0.048658195572785;0.0475876460561948;0.0496718711997338;1910
mas80;132615;54802;77813;0.00663218056134708;0.0056351531883109;0.00757623997362585;1910
entre65y79;1073679;495760;577919;0.0501957424463444;0.047791549564067;0.0524595922828204;1920
mas80;143014;56892;86122;0.00668607089290328;0.00548442157051577;0.00781757479262848;1920
entre65y79;1263632;575763;687869;0.0533678095180657;0.0497814894856;0.0567924062678723;1930
mas80;177112;66451;110661;0.00748008872786037;0.00574547124043679;0.00913648451959459;1930
entre65y79;1475702;644917;830785;0.0567230656228899;0.051629401452566;0.0614275448361519;1940
mas80;224158;79681;144477;0.00861619008708787;0.00637893300555252;0.0106825079837656;1940
entre65y79;1750045;;;0.063;;;1950
mas80;272478;;;0.01;;;1950
entre65y79;2136190;899829;1236361;0.0699735418062424;0.0607576500821903;0.0786569043523757;1960
mas80;368975;127197;241778;0.0120862318370362;0.00858851050311155;0.015381841566103;1960
entre65y79;2767061;1172637;1594424;0.0812861518212647;0.0704626908038935;0.0916386560103656;1970
mas80;523739;183581;340158;0.0153855400617179;0.0110312153210837;0.0195503968525147;1970
entre65y79;3511599;1478921;2032696;0.0931870596478289;0.0799774926230477;0.105915755983207;1981
mas80;725141;245001;480118;0.0192430165346574;0.0132492308041737;0.0250170517043107;1981
entre65y79;4222384;1816624;2405760;0.108622012999087;0.0954287370657317;0.121283604984961;1991
mas80;1147868;391632;756236;0.0295292263368837;0.0205727476651892;0.0381247623617514;1991
entre65y79;5378194;2398558;2979636;0.131665609519888;0.11985070416145;0.143014594694403;2001
mas80;1580322;532005;1048317;0.0386884629613005;0.0265831278073793;0.0503164248472809;2001
entre65y79;5659441;2586144;3073295;0.12088712745545;0.111933444772902;0.129611384936149;2011
mas80;2456906;884112;1572797;0.0524801493235921;0.038266121965776;0.0663302407980427;2011
entre65y79;6448011;2978910;3469101;0.136076742424577;0.128274384398918;0.143575816957379;2021
mas80;2862817;1054135;1808682;0.0604159657168232;0.0453919447711925;0.0748559917298764;2021
entre65y79;7133614.096837;3311833.055975;3821781.040862;0.150339968233125;0.142566135163534;0.157796174962613;2025
mas80;3091114.784834;1174140.493134;1916974.2917;0.0651448329343945;0.0505438134760812;0.0791492781762551;2025
entre65y79;7953578.776937;3717318.876978;4236259.899959;0.166570559294057;0.159309418306113;0.173510177737189;2030
mas80;3513679.50234;1363589.16892;2150090.33342;0.0735864415628803;0.0584379776119073;0.0880641331534753;2030
entre65y79;8892405.852746;4179345.003702;4713060.849044;0.184166964772573;0.177570945472264;0.190439934784484;2035
mas80;3900207.525281;1532911.582964;2367295.942317;0.0807755959195609;0.0651299566968489;0.0956549680367207;2035
