"CODAUTO","NOMAUTO","poblacion_edad","Total","Hombres","Mujeres","porc_total_grupo","porc_total_hombres","porc_total_mujeres"
1,"Andalucía","anciano",1495393,653939,841454,17.6501553808735,15.669443579829,19.5729399953664
2,"Aragón","anciano",289603,126374,163229,21.8360488621772,19.286438111982,24.3257582192893
3,"Asturias, Principado de","anciano",268839,112625,156214,26.5705797238958,23.3339894129469,29.5229689658626
4,"Balears, Illes","anciano",187362,83415,103947,15.972781089302,14.2625582838765,17.6734024194303
5,"Canarias","anciano",361259,161682,199577,16.6253249048296,15.0516673183265,18.1637731123335
6,"Cantabria","anciano",132016,56539,75477,22.5858715122317,19.951795834539,25.0646732795579
7,"Castilla y León","anciano",613511,273192,340319,25.7438193911476,23.28776231466,28.1249560959484
8,"Castilla-La Mancha","anciano",389822,174075,215747,19.0197710535227,16.9642578703631,21.0806949935218
9,"Cataluña","anciano",1478671,635209,843462,19.0467866885507,16.6292435450678,21.3884967558262
10,"Comunitat Valenciana","anciano",996058,436819,559239,19.6921871249855,17.5331159985133,21.7878760016581
11,"Extremadura","anciano",224335,99082,125253,21.1736468394084,18.9096447165519,23.3888240511647
12,"Galicia","anciano",694140,297356,396784,25.7504233680622,22.9211262459522,28.3752781861974
13,"Madrid, Comunidad de","anciano",1213096,502966,710130,17.9684624375542,15.5731492089049,20.165262408524
14,"Murcia, Región de","anciano",242311,106797,135514,15.9574075757037,14.0455467264277,17.8749122834787
15,"Navarra, Comunidad Foral de","anciano",131941,58498,73443,19.9446138311236,17.8638938512513,21.9841830503604
16,"País Vasco","anciano",505005,215460,289545,22.8096927135723,20.0170013517468,25.4520889445222
17,"Rioja, La","anciano",67836,30175,37661,21.2122728239253,19.1195199685724,23.2514060985473
18,"Ceuta","anciano",10312,4646,5666,12.3471868002922,11.0073919636088,13.7161393400954
19,"Melilla","anciano",9318,4196,5122,10.8021006016624,9.62319106483499,12.0071264475597
