"grandes_grupos_edad","Total","Hombres","Mujeres","porc_total","porc_hombres","porc_mujeres","tipo_muni"
"adultos",30890906,15497164,15393742,0.651911707195259,0.327047145846901,0.324864561348358,"nacional"
"jovenes",7183373,3692744,3490629,0.151595584663342,0.0779304771855849,0.0736651074777567,"nacional"
"mayores",9310828,4033045,5277783,0.1964927081414,0.0851120796245116,0.111380628516888,"nacional"
"adultos",43870,27194,16676,0.561198383052755,0.347873919050299,0.213324464002456,"entre0y100_rural"
"adultos",7280888,3589177,3691711,0.64913230600466,0.319995410267111,0.329136895737549,"entre100000y500000_urbano"
"adultos",3202251,1623816,1578435,0.654312463859324,0.331792557115039,0.322519906744284,"entre10000y20000_urbano"
"adultos",768963,407932,361031,0.620086945372469,0.328953808960486,0.291133136411983,"entre1000y2000_rural"
"adultos",382859,216323,166536,0.587935662600278,0.332195420091156,0.255740242509122,"entre100y500_rural"
"adultos",5199568,2623072,2576496,0.663401608984633,0.334672069926298,0.328729539058335,"entre20000y50000_urbano"
"adultos",1915411,994821,920590,0.639188568221158,0.331980034899215,0.307208533321943,"entre2000y5000_intermedio"
"adultos",4080317,2026838,2053479,0.660385560755688,0.328036902326691,0.332348658428997,"entre50000y100000_urbano"
"adultos",2547700,1303947,1243753,0.652862181938855,0.334143613279673,0.318718568659181,"entre5000y10000_intermedio"
"adultos",441110,238776,202334,0.611794565956089,0.331168777132079,0.280625788824011,"entre500y1000_rural"
"adultos",5027969,2445268,2582701,0.655637552772107,0.318858276053799,0.336779276718308,"mas500000_urbano"
"jovenes",3616,1878,1738,0.0462569718057617,0.0240239471933685,0.0222330246123932,"entre0y100_rural"
"jovenes",1688059,866710,821349,0.150499998261465,0.0772720938623556,0.0732279043991092,"entre100000y500000_urbano"
"jovenes",783881,403927,379954,0.160169552131457,0.0825339645734532,0.0776355875580039,"entre10000y20000_urbano"
"jovenes",152907,78598,74309,0.123303246783094,0.0633809347554893,0.0599223120276045,"entre1000y2000_rural"
"jovenes",55634,28438,27196,0.0854340962419686,0.0436706839150358,0.0417634123269328,"entre100y500_rural"
"jovenes",1281575,659840,621735,0.163513375925554,0.084187555133892,0.0793258207916621,"entre20000y50000_urbano"
"jovenes",435387,224591,210796,0.145292260069565,0.0749478831046486,0.0703443769649162,"entre2000y5000_intermedio"
"jovenes",1015627,522135,493492,0.164375808525077,0.0845057907915417,0.0798700177335354,"entre50000y100000_urbano"
"jovenes",614738,316381,298357,0.157530004317905,0.0810743768826773,0.0764556274352282,"entre5000y10000_intermedio"
"jovenes",80483,41280,39203,0.111625358871583,0.0572530200690698,0.0543723388025131,"entre500y1000_rural"
"jovenes",1071466,548966,522500,0.139717119600085,0.071584117721309,0.0681330018787757,"mas500000_urbano"
"mayores",30686,16047,14639,0.392544645141483,0.205278104692217,0.187266540449266,"entre0y100_rural"
"mayores",2247392,941180,1306212,0.200367695733875,0.0839115151565943,0.116456180577281,"entre100000y500000_urbano"
"mayores",907938,404672,503266,0.185517984009219,0.0826861896131441,0.102831794396075,"entre10000y20000_urbano"
"mayores",318219,147195,171024,0.256609807844437,0.118697125770812,0.137912682073625,"entre1000y2000_rural"
"mayores",212699,103741,108958,0.326630241157754,0.15930938955024,0.167320851607514,"entre100y500_rural"
"mayores",1356595,600180,756415,0.173085015089813,0.076575665070713,0.0965093500190999,"entre20000y50000_urbano"
"mayores",645831,293678,352153,0.215519171709277,0.098002789134057,0.11751638257522,"entre2000y5000_intermedio"
"mayores",1082745,472284,610461,0.175238630719235,0.0764375743786425,0.0988010563405926,"entre50000y100000_urbano"
"mayores",739917,334637,405280,0.18960781374324,0.0857525776101867,0.103855236133053,"entre5000y10000_intermedio"
"mayores",199417,94433,104984,0.276580075172328,0.130973218124575,0.145606857047752,"entre500y1000_rural"
"mayores",1569389,624998,944391,0.204645327627808,0.0814985452789111,0.123146782348897,"mas500000_urbano"
"adultos",4463111,2298768,2164343,0.646922938218149,0.33320384566771,0.313719092550439,"intermedio"
"adultos",1636802,890225,746577,0.60837186759305,0.330881710694405,0.277490156898645,"rural"
"adultos",24790993,12308171,12482822,0.655921685188194,0.325650378905938,0.330271306282256,"urbano"
"jovenes",1050125,540972,509153,0.152214442010592,0.0784132852025748,0.073801156808017,"intermedio"
"jovenes",292640,150194,142446,0.108769382816266,0.0558245922727798,0.0529447905434864,"rural"
"jovenes",5840608,3001578,2839030,0.15453118162244,0.0794159435236744,0.0751152380987658,"urbano"
"mayores",1385748,628315,757433,0.200862619771259,0.0910735551785596,0.109789064592699,"intermedio"
"mayores",761021,361416,399605,0.282858749590684,0.134332269204222,0.148526480386461,"rural"
"mayores",7164059,3043314,4120745,0.189547133189366,0.0805201972924934,0.109026935896873,"urbano"
